UTC-timeStamp,GazeLeftx,GazeLefty,GazeRightx,GazeRighty,PupilLeft,PupilRight,WorkloadFBDS,WorkloadBDS,WorkloadAverage,Brow Furrow,Brow Raise,Engagement,Lip Corner Depressor,Smile,Valence,Attention,InnerBrowRaise,EyeClosure,NoseWrinkle,UpperLipRaise,LipSuck,LipPress,MouthOpen,ChinRaise,Smirk,LipPucker,Anger,Sadness,Disgust,Joy,Surprise,Fear,Contempt,Cheek Raise,Dimpler,Eye Widen,Lid Tighten,Lip Stretch,Jaw Drop,Battery (mVolts),GSC (mVolts),GSR (kOhms),GSR Quality
20180822_180604164,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1895.238095,77.86585271,VALID
20180822_180604170,950,625,915,632,2.14389,2.166672,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1895.238095,77.86585271,VALID
20180822_180604172,950,625,915,632,2.14389,2.166672,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1895.238095,77.86585271,VALID
20180822_180604172,950,625,915,632,2.14389,2.166672,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1895.238095,77.86585271,VALID
20180822_180604174,950,625,915,632,2.14389,2.166672,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1942.857143,77.89860717,VALID
20180822_180604176,950,625,915,632,2.14389,2.166672,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1959.70696,77.86585271,VALID
20180822_180604187,955,627,951,636,2.166992,2.165314,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1959.70696,77.86585271,VALID
20180822_180604188,955,627,951,636,2.166992,2.165314,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1959.70696,77.86585271,VALID
20180822_180604188,955,627,951,636,2.166992,2.165314,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1959.70696,77.86585271,VALID
20180822_180604191,955,627,951,636,2.166992,2.165314,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069.210256,1938.461538,77.89860717,VALID
20180822_180604198,955,627,951,636,2.166992,2.165314,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070.666667,1936.996337,77.89860717,VALID
20180822_180604200,955,627,951,636,2.166992,2.165314,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070.666667,1936.996337,77.89860717,VALID
20180822_180604200,955,627,951,636,2.166992,2.165314,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070.666667,1936.996337,77.89860717,VALID
20180822_180604203,934,632,927,641,2.139587,2.160614,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070.666667,1936.996337,77.89860717,VALID
20180822_180604210,934,632,927,641,2.139587,2.160614,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1958.974359,77.96419884,VALID
20180822_180604210,934,632,927,641,2.139587,2.160614,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1978.754579,77.96419884,VALID
20180822_180604214,934,632,927,641,2.139587,2.160614,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1978.754579,77.96419884,VALID
20180822_180604214,934,632,927,641,2.139587,2.160614,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1978.754579,77.96419884,VALID
20180822_180604214,934,632,927,641,2.139587,2.160614,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1978.754579,77.96419884,VALID
20180822_180604214,934,632,927,641,2.139587,2.160614,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1978.754579,77.96419884,VALID
20180822_180604216,934,632,927,641,2.139587,2.160614,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4105.620513,1778.021978,77.96419884,VALID
20180822_180604220,941,594,902,611,2.169937,2.146957,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1897.435897,77.9313892,VALID
20180822_180604220,941,594,902,611,2.169937,2.146957,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1897.435897,77.9313892,VALID
20180822_180604222,941,594,902,611,2.169937,2.146957,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1897.435897,77.9313892,VALID
20180822_180604222,941,594,902,611,2.169937,2.146957,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1897.435897,77.9313892,VALID
20180822_180604228,941,594,902,611,2.169937,2.146957,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1897.435897,77.9313892,VALID
20180822_180604228,941,594,902,611,2.169937,2.146957,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1897.435897,77.9313892,VALID
20180822_180604236,941,594,902,611,2.169937,2.146957,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1949.450549,77.9313892,VALID
20180822_180604237,917,592,912,668,2.140427,2.199173,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1949.450549,77.9313892,VALID
20180822_180604240,917,592,912,668,2.140427,2.199173,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1961.904762,77.9313892,VALID
20180822_180604242,917,592,912,668,2.140427,2.199173,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1961.904762,77.9313892,VALID
20180822_180604242,917,592,912,668,2.140427,2.199173,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1961.904762,77.9313892,VALID
